val_loss,epoch,step,train_loss
0.33130937814712524,0,494,
,0,494,0.3141443431377411
0.297836035490036,1,989,
,1,989,0.06755365431308746
0.28216469287872314,2,1484,
,2,1484,0.04203660786151886
0.29413890838623047,3,1979,
,3,1979,0.04507339373230934
0.2934478521347046,4,2474,
,4,2474,0.03818104788661003
