sample_index,dice_score,iou_score,uncertainty,precision,recall,f1_score,specificity
0,1.0,3.8146963561302982e-06,0.00026042922,0.0,0.0,0.0,0.9999999999961853
1,1.0,3.8146963561302982e-06,0.00019849249,0.0,0.0,0.0,0.9999999999961853
2,1.0,3.8146963561302982e-06,0.00022007005,0.0,0.0,0.0,0.9999999999961853
3,0.9809390902519226,0.962581217288971,0.28439352,0.9900973481033905,0.971948758083783,0.9809391174208568,0.9990078489197787
4,0.9797323942184448,0.9602605104446411,0.2903835,0.9845150448143406,0.974996037406879,0.9797324201640519,0.998366454484448
5,0.974382221698761,0.9500352144241333,0.2979381,0.9728945185855388,0.9758744564189828,0.9743822091332993,0.996949499145109
6,0.9744069576263428,0.9500826597213745,0.30520976,0.9666012488849242,0.982339715694807,0.9744069351270661,0.9960096858864124
7,0.9797165393829346,0.9602312445640564,0.31068456,0.9761609907120743,0.9832981045774282,0.9797165495693003,0.9970293846539767
8,0.9670528173446655,0.9361997842788696,0.3138175,0.9903881700554529,0.9447917668558238,0.9670528008400879,0.9987616527994927
9,0.9819632768630981,0.9645580053329468,0.32097036,0.9933997629041044,0.9707871501033252,0.9819632931637873,0.9991051492967207
10,0.987804114818573,0.9758946299552917,0.32576573,0.9959323086477255,0.9798075454406598,0.9878041268863567,0.9994289674729437
11,0.9889081120491028,0.9780521988868713,0.329669,0.9931080345807388,0.9847435782153883,0.9889081194973286,0.9990034137406558
12,0.9859121441841125,0.972208559513092,0.3324407,0.9896426875593543,0.9822096550911608,0.9859121616627493,0.9984705928709536
13,1.0,3.8146963561302982e-06,0.00019454901,0.0,0.0,0.0,0.9999999999961853
14,0.9907575845718384,0.9816772937774658,0.33509,0.9920137573231513,0.9895045935573904,0.9907575867840769,0.9987969158851063
15,0.99215167760849,0.984418511390686,0.33774602,0.9915268792580294,0.9927773000859845,0.9921516956920257,0.9986974926690017
16,0.9933104515075684,0.9867027997970581,0.3404369,0.995222571942446,0.9914056157442401,0.993310427038777,0.9992491928779353
17,0.9913081526756287,0.9827593564987183,0.34318766,0.9924428386242656,0.9901761144744083,0.9913081807788201,0.9987865582496378
18,0.9877699613571167,0.9758288860321045,0.3459893,0.9896402488504192,0.9859067636755592,0.9877699784017279,0.9982980349591692
19,0.991159200668335,0.9824666976928711,0.34847915,0.9881943151905129,0.9941418788786647,0.9911591748563199,0.9980245595257251
20,0.9941765666007996,0.98841392993927,0.3502133,0.9928945498565752,0.9954618611646131,0.9941765480895915,0.9987959490329741
21,0.9949290752410889,0.9899027347564697,0.35001537,0.9951781197301856,0.9946801506412789,0.9949290728764669,0.9991836661819256
22,0.9934619665145874,0.9870023131370544,0.34987906,0.9943795023352772,0.9925461585060711,0.9934619846040282,0.9990498579203082
23,0.9918343424797058,0.9837945103645325,0.34982884,0.9937189908160033,0.9899568829529919,0.991834369402592,0.9989380120254567
